,Ø Êmbolo (mm),Ø Haste (mm),Curso (mm),Modelo,Norma,Fabricante,Comprimento Total (mm),Rosca Haste,Conexão Pneumática,▯ Distância Quadrada Fixações (mm),Parafuso de Fixação,Pressão Máxima (Bar)
98,100,25,500,DSBC-100-500-PPSA-N3,15552,Festo,727.5,"M20x1,5",G1/2,89.0,M10,12
99,100,25,320,DSBC-100-320-PPSA-N3,15552,Festo,547.5,"M20x1,5",G1/2,89.0,M10,12
100,100,25,300,DSBC-100-300-PPSA-N3,15552,Festo,527.5,"M20x1,5",G1/2,89.0,M10,12
101,100,25,125,DSBC-100-125-PPSA-N3,15552,Festo,352.5,"M20x1,5",G1/2,89.0,M10,12
102,100,25,160,DSBC-100-160-PPSA-N3,15552,Festo,387.5,"M20x1,5",G1/2,89.0,M10,12
103,100,25,200,DSBC-100-200-PPSA-N3,15552,Festo,427.5,"M20x1,5",G1/2,89.0,M10,12
104,100,25,150,DSBC-100-150-PPSA-N3,15552,Festo,377.5,"M20x1,5",G1/2,89.0,M10,12
105,100,25,50,DSBC-100-50-PPSA-N3,15552,Festo,277.5,"M20x1,5",G1/2,89.0,M10,12
106,100,25,20,DSBC-100-20-PPSA-N3,15552,Festo,247.5,"M20x1,5",G1/2,89.0,M10,12
107,100,25,25,DSBC-100-25-PPSA-N3,15552,Festo,252.5,"M20x1,5",G1/2,89.0,M10,12
108,125,32,25,DSBC-125-25-PPSA-N3,15552,Festo,304.0,M27x2,G1/2,110.0,M12,12
109,125,32,20,DSBC-125-20-PPSA-N3,15552,Festo,299.0,M27x2,G1/2,110.0,M12,12
110,125,32,30,DSBC-125-30-PPSA-N3,15552,Festo,309.0,M27x2,G1/2,110.0,M12,12
111,125,32,40,DSBC-125-40-PPSA-N3,15552,Festo,319.0,M27x2,G1/2,110.0,M12,12
112,125,32,100,DSBC-125-100-PPSA-N3,15552,Festo,379.0,M27x2,G1/2,110.0,M12,12
113,125,32,80,DSBC-125-80-PPSA-N3,15552,Festo,359.0,M27x2,G1/2,110.0,M12,12
114,125,32,70,DSBC-125-70-PPSA-N3,15552,Festo,349.0,M27x2,G1/2,110.0,M12,12
115,125,32,60,DSBC-125-60-PPSA-N3,15552,Festo,339.0,M27x2,G1/2,110.0,M12,12
116,125,32,50,DSBC-125-50-PPSA-N3,15552,Festo,329.0,M27x2,G1/2,110.0,M12,12
117,125,32,160,DSBC-125-160-PPSA-N3,15552,Festo,439.0,M27x2,G1/2,110.0,M12,12
118,125,32,125,DSBC-125-125-PPSA-N3,15552,Festo,404.0,M27x2,G1/2,110.0,M12,12
119,125,32,150,DSBC-125-150-PPSA-N3,15552,Festo,429.0,M27x2,G1/2,110.0,M12,12
120,125,32,200,DSBC-125-200-PPSA-N3,15552,Festo,479.0,M27x2,G1/2,110.0,M12,12
121,125,32,320,DSBC-125-320-PPSA-N3,15552,Festo,599.0,M27x2,G1/2,110.0,M12,12
